project,date,arr. time,dep. time,sch. dur.,cancelled,cancelled on time,cancelled on
20250044H,09/05/25,0900,1015,60,FALSE,,-
20230093H,09/08/25,0945,1150,105,FALSE,,-
20230093H,09/08/25,1315,1430,105,FALSE,,-
20230093H,09/09/25,0915,1145,150,FALSE,,-
20230093H,09/09/25,0,0,150,TRUE,FALSE,9/8 @ 1530
20230093H,09/10/25,0900,1130,150,FALSE,,-
2024-663,09/10/25,1335,1445,60,FALSE,,-
20230093H,09/11/25,0915,1145,150,FALSE,,-
20230093H,09/12/25,0900,1015,75,FALSE,,-
20250044H,09/13/25,0815,0930,60,FALSE,,-
2024-663,09/15/25,1130,1240,60,FALSE,,-
2022-0010,09/16/25,0845,1015,90,FALSE,,-
20250044H,09/17/25,0855,1000,60,FALSE,,-
2024-663,09/20/25,0935,1045,60,FALSE,,-
2022-0010,09/22/25,0830,0945,90,FALSE,,-
20230093H,09/22/25,0,0,105,TRUE,FALSE,9/22 @ 1230
20230093H,09/22/25,1500,1700,105,FALSE,,-
20250044H,09/23/25,0900,1000,105,FALSE,,-
20230093H,09/23/25,0,0,150,TRUE,FALSE,9/22 @ 1230
20230093H,09/23/25,1430,1700,150,FALSE,,-
20230093H,09/24/25,0830,1100,150,FALSE,,-
20230093H,09/25/25,1445,1700,150,FALSE,,-
2024-663,09/26/25,0900,1000,60,FALSE,,-
20230093H,09/26/25,1400,1515,75,FALSE,,-
2024-663,09/29/25,0930,1030,105,FALSE,,-
20230093H,09/29/25,1140,1330,105,FALSE,,-
20230093H,09/29/25,0,0,105,TRUE,FALSE,9/29 @ 1400
2024-663,09/30/25,0930,1030,60,FALSE,,-
20230093H,09/30/25,1115,1340,150,FALSE,,-
